,protein_abundance
b3873,37.0
b3874,4.0
b3875,1.0
b3876,0.0
b3877,2.0
b3878,7.0
b3879,3.0
b3880,21.0
b3881,15.0
b3882,5.0
b3883,9.0
b3884,116.0
b3885,354.0
b3886,51.0
b3887,649.0
b3888,362.0
b3889,1.0
b3890,56.0
b3891,351.0
b3892,16.0
b3893,13.0
b3894,11.0
b3895,111.0
b3896,8.0
b3897,0.0
b3898,5.0
b3899,1.0
b3900,1.0
b3901,5.0
b3902,13.0
b3903,5.0
b3904,0.0
b3905,9.0
b3906,1.0
b3907,2.0
b3908,20479.0
b3909,2.0
b3910,360.0
b3911,106.0
b3912,1543.0
b3915,102.0
b3916,2811.0
b3917,831.0
b3918,58.0
b3919,7847.0
b3920,182.0
b3921,92.0
b3922,879.0
b3923,804.0
b3925,238.0
b3926,129.0
b3927,8.0
b3928,7797.0
b3929,1630.0
b3930,160.0
b3931,1426.0
b3932,1016.0
b3933,269.0
b3934,89.0
b3935,59.0
b3936,21585.0
b3937,5.0
b3938,2317.0
b3939,745.0
b3940,581.0
b3941,2849.0
b3942,1908.0
b3943,19.0
b3944,0.0
b3945,94.0
b3946,15.0
b3947,2.0
b3949,0.0
b3950,16.0
b3951,12.0
b3952,2.0
b3953,7.0
b3954,42.0
b3955,484.0
b3956,4441.0
b3957,1444.0
b3958,1076.0
b3959,1736.0
b3960,1878.0
b3961,726.0
b3962,492.0
b3963,244.0
b3964,949.0
b3965,332.0
b3966,564.0
b3967,159.0
b3972,228.0
b3973,131.0
b3974,327.0
b3981,1743.0
b3982,3487.0
b3983,21385.0
b3984,21791.0
b3985,23350.0
b3986,64335.0
b3987,4059.0
b3988,3715.0
b3989,8.0
b3990,848.0
b3991,1502.0
b3992,713.0
b3993,1199.0
b3994,2352.0
b3995,719.0
b3996,318.0
b3997,621.0
b3998,229.0
b3999,419.0
b4000,29042.0
b4001,40.0
b4002,10.0
b4003,4.0
b4004,30.0
b4005,1372.0
b4006,2560.0
b4011,3.0
b4012,34.0
b4013,1711.0
b4014,8427.0
b4015,14155.0
b4016,71.0
b4017,1.0
b4018,147.0
b4019,753.0
b4020,60.0
b4021,81.0
b4022,172.0
b4023,515.0
b4024,2887.0
b4025,3613.0
b4026,80.0
b4027,3.0
b4028,1.0
b4029,1.0
b4030,128.0
b4031,0.0
b4032,40.0
b4033,28.0
b4034,682.0
b4035,61.0
b4036,314.0
b4037,282.0
b4039,139.0
b4040,276.0
b4041,445.0
b4042,665.0
b4043,645.0
b4044,16.0
b4045,430.0
b4046,167.0
b4047,0.0
b4048,1.0
b4049,256.0
b4050,52.0
b4052,210.0
b4053,158.0
b4054,1747.0
b4055,62.0
b4056,122.0
b4057,541.0
b4058,206.0
b4059,2329.0
b4060,166.0
b4061,21.0
b4062,467.0
b4063,74.0
b4064,818.0
b4065,77.0
b4066,0.0
b4067,46.0
b4068,97.0
b4069,643.0
b4070,4.0
b4071,3.0
b4072,2.0
b4073,1.0
b4074,0.0
b4075,3.0
b4076,2.0
b4077,124.0
b4078,129.0
b4079,1.0
b4080,0.0
b4081,0.0
b4082,0.0
b4083,1.0
b4084,7.0
b4085,13.0
b4086,2.0
b4087,0.0
b4088,41.0
b4089,124.0
b4090,52.0
b4092,33.0
b4093,125.0
b4094,3.0
b4095,1.0
b4096,3.0
b4097,1.0
b4098,1.0
b4099,1.0
b4100,1.0
b4101,1.0
b4102,1.0
b4105,5.0
b4106,3.0
b4107,185.0
b4108,1188.0
b4109,20.0
b4110,4.0
b4111,613.0
b4112,120.0
b4113,542.0
b4114,126.0
b4115,1.0
b4116,11.0
b4117,8.0
b4118,18.0
b4119,26.0
b4120,5.0
b4121,49.0
b4122,21.0
b4123,0.0
b4124,167.0
b4125,21.0
b4126,254.0
b4127,375.0
b4128,32.0
b4129,315.0
b4130,1.0
b4131,0.0
b4132,0.0
b4133,14.0
b4135,596.0
b4136,145.0
b4137,207.0
b4138,574.0
b4139,71.0
b4140,139.0
b4141,77.0
b4142,13733.0
b4143,11204.0
b4144,3049.0
b4145,19.0
b4146,163.0
b4147,7562.0
b4148,46.0
b4149,378.0
b4150,132.0
b4151,141.0
b4152,119.0
b4153,144.0
b4154,141.0
b4155,106.0
b4156,4.0
b4157,2.0
b4158,3.0
b4159,51.0
b4160,486.0
b4161,331.0
b4162,825.0
b4166,25.0
b4167,173.0
b4168,248.0
b4169,173.0
b4170,77.0
b4171,130.0
b4172,8277.0
b4173,374.0
b4174,1048.0
b4175,923.0
b4176,56.0
b4177,5661.0
b4178,168.0
b4179,605.0
b4180,403.0
b4181,1.0
b4182,3.0
b4183,0.0
b4184,0.0
b4185,0.0
b4186,0.0
b4187,150.0
b4188,44.0
b4189,144.0
b4190,134.0
b4191,121.0
b4192,52.0
b4193,1.0
b4194,44.0
b4195,10.0
b4196,21.0
b4197,5.0
b4198,8.0
b4199,12.0
b4200,26478.0
b4201,245.0
b4202,22547.0
b4203,18410.0
b4204,13.0
b4206,276.0
b4207,2940.0
b4208,541.0
b4209,11.0
b4210,19.0
b4212,46.0
b4213,207.0
b4214,533.0
b4215,2.0
b4216,59.0
b4217,1224.0
b4218,64.0
b4219,801.0
b4220,115.0
b4221,54.0
b4222,764.0
b4224,252.0
b4225,47.0
b4226,16471.0
b4227,50.0
b4230,4.0
b4231,7.0
b4232,1028.0
b4233,500.0
b4234,600.0
b4235,615.0
b4237,13.0
b4238,92.0
b4239,23.0
b4240,27.0
b4241,143.0
b4242,63.0
b4243,12479.0
b4244,26096.0
b4245,23504.0
b4246,370.0
b4248,186.0
b4249,17.0
b4251,202.0
b4252,664.0
b4253,21.0
b4254,2562.0
b4255,3435.0
b4256,319.0
b4257,1.0
b4258,1751.0
b4259,167.0
b4260,1308.0
b4261,209.0
b4262,166.0
b4263,186.0
b4264,60.0
b4265,2.0
b4266,19.0
b4267,9.0
b4268,15.0
b4269,317.0
b4277,0.0
b4278,57.0
b4279,17.0
b4280,121.0
b4287,44.0
b4288,3.0
b4289,3.0
b4290,19.0
b4291,12.0
b4292,34.0
b4293,65.0
b4295,286.0
b4296,1.0
b4297,16.0
b4298,21.0
b4299,4.0
b4300,19.0
b4301,15.0
b4302,42.0
b4303,27.0
b4304,3.0
b4305,2.0
b4306,23.0
b4307,25.0
b4309,17.0
b4310,128.0
b4311,0.0
b4312,394.0
b4313,28.0
b4314,10.0
b4315,17.0
b4316,55.0
b4318,14.0
b4319,16.0
b4320,25.0
b4321,5.0
b4322,144.0
b4323,90.0
b4324,177.0
b4325,1.0
b4326,44.0
b4327,25.0
b4328,225.0
b4329,3.0
b4330,2.0
b4331,6.0
b4332,7.0
b4333,15.0
b4334,2.0
b4335,5.0
b4336,34.0
b4337,13.0
b4340,40.0
b4341,6.0
b4345,17.0
b4346,123.0
b4347,39.0
b4348,158.0
b4349,450.0
b4350,186.0
b4351,184.0
b4352,320.0
b4353,8.0
b4354,9.0
b4355,4.0
b4356,2.0
b4357,15.0
b4358,2.0
b4360,352.0
b4361,135.0
b4362,92.0
b4363,10.0
b4364,28.0
b4365,0.0
b4366,0.0
b4367,261.0
b4371,401.0
b4372,118.0
b4373,156.0
b4374,369.0
b4375,922.0
b4376,8781.0
b4377,142.0
b4378,58.0
b4379,2.0
b4380,18.0
b4381,636.0
b4382,237.0
b4383,1012.0
b4384,2993.0
b4385,51.0
b4386,182.0
b4387,43.0
b4388,242.0
b4389,148.0
b4390,231.0
b4391,2080.0
b4392,204.0
b4393,549.0
b4394,275.0
b4395,443.0
b4396,673.0
b4397,489.0
b4398,64.0
b4399,17.0
b4400,2.0
b4401,3622.0
b4402,0.0
b4403,204.0
b4406,665.0
b4407,560.0
b4409,506.0
b4410,98.0
b4411,23546.0
b4412,0.0
b4415,2.0
b4421,0.0
b4428,17.0
b4453,8.0
b4455,2.0
b4460,13.0
b4461,54.0
b4463,3.0
b4464,13.0
b4465,7.0
b4466,58.0
b4467,10.0
b4468,7.0
b4469,225.0
b4470,25.0
b4471,7.0
b4472,37.0
b4473,10.0
b4474,8.0
b4475,11.0
b4476,5.0
b4477,5.0
b4478,18.0
b4479,170.0
b4480,166.0
b4482,4.0
b4483,60.0
b4484,120.0
b4485,4.0
b4487,31.0
b4501,44.0
b4502,4.0
b4504,1.0
b4506,2593.0
b4509,2.0
b4511,21.0
b4512,262.0
b4513,1.0
b4515,1429.0
b4517,921.0
b4518,278.0
b4520,13.0
b4522,463.0
b4523,642.0
b4526,0.0
b4527,13.0
b4529,1385.0
b4532,19.0
b4533,10.0
b4535,91.0
b4536,264.0
b4537,600.0
b4539,74.0
b4541,2.0
b4542,546.0
b4544,10.0
b4546,54.0
b4547,229.0
b4548,1.0
b4550,766.0
b4551,758.0
b4553,41.0
b4554,983.0
b4555,86.0
b4557,151.0
b4558,2282.0
b4559,1.0
b4565,11.0
b4566,2.0
b4567,21.0
b4568,4707.0
b4586,1.0
b4588,0.0
b4589,5.0
b4590,0.0
b4592,95.0
b4593,0.0
b4594,2.0
b4595,895.0
b4596,216.0
b4598,1093.0
b4599,272.0
b4601,0.0
b4602,5218.0
b4604,0.0
b4606,1043.0
b4607,13.0
b4612,0.0
b4613,21.0
b4618,1.0
b4620,7.0
b4621,2.0
b4622,0.0
b4637,119.0
b4655,1.0
b4662,0.0
b4663,7360.0
b4664,0.0
b4665,0.0
b4666,0.0
b4667,0.0
b4668,0.0
b4669,972.0
b4670,14.0
b4671,21.0
b4674,0.0
b4675,1031.0
b4676,131.0
b4677,2.0
b4678,2495.0
b4679,992.0
b4680,570.0
b4682,0.0
b4683,15.0
b4684,6.0
b4685,18.0
b4686,7384.0
b4702,530.0
